#TYPE Microsoft.ActiveDirectory.Management.ADAccount
"AccountExpirationDate","DistinguishedName","Enabled","LastLogonDate","LockedOut","Name","ObjectClass","ObjectGUID","PasswordExpired","PasswordNeverExpires","SamAccountName","SID","UserPrincipalName"
,"CN=LNSPARE01,OU=MI,OU=Desktops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","3/4/2014 11:59:50 AM","False","LNSPARE01","computer","ee4fe283-8d25-4ede-b018-e6581d85e1c1","False","False","LNSPARE01$","S-1-5-21-689311476-2703878803-1764524066-3685",
,"CN=BBOSMAN-PC,OU=MI,OU=Desktops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","5/6/2014 1:59:09 PM","False","BBOSMAN-PC","computer","a2309404-eb3f-4243-91ac-e498fc2e1842","False","False","BBOSMAN-PC$","S-1-5-21-689311476-2703878803-1764524066-1803",
,"CN=ADMINSTATION,OU=CA,OU=Desktops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","5/6/2014 3:48:42 PM","False","ADMINSTATION","computer","e21e921c-ddb4-4ec2-952b-add43ef899ba","False","False","ADMINSTATION$","S-1-5-21-689311476-2703878803-1764524066-3169",
,"CN=LNLAPTOP,OU=MI,OU=Desktops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","5/13/2014 11:10:43 AM","False","LNLAPTOP","computer","b6b3522d-ba55-46c4-9c96-cc1aaf10c4e4","False","False","LNLAPTOP$","S-1-5-21-689311476-2703878803-1764524066-3183",
,"CN=CLTLNMREAGAN,OU=NC,OU=Laptops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","3/16/2017 3:08:44 PM","False","CLTLNMREAGAN","computer","91888e96-37c7-4a19-93c2-b3c115b973e4","False","False","CLTLNMREAGAN$","S-1-5-21-689311476-2703878803-1764524066-1807",
,"CN=CALRRTECHSRVR,OU=CA,OU=Servers,OU=corporate,DC=lionel,DC=com","True","9/15/2017 1:26:23 PM","False","CALRRTECHSRVR","computer","63fbc19d-57f0-4348-bf43-eedaede8d6d6","False","False","CALRRTECHSRVR$","S-1-5-21-689311476-2703878803-1764524066-1198",
,"CN=MILNCLPSPARE01,OU=TBD,OU=Computers,OU=corporate,DC=lionel,DC=com","True","11/4/2014 11:54:43 AM","False","MILNCLPSPARE01","computer","ac26dd90-f57d-4f86-b818-bb733d99793b","False","False","MILNCLPSPARE01$","S-1-5-21-689311476-2703878803-1764524066-2656",
,"CN=LNVICFRONT,OU=NC,OU=Laptops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","11/10/2016 8:13:24 AM","False","LNVICFRONT","computer","fc49cfa7-4f90-419b-921b-fe306eb9c9e2","False","False","LNVICFRONT$","S-1-5-21-689311476-2703878803-1764524066-1768",
,"CN=CLTLNSPAREDESK-,CN=Computers,DC=lionel,DC=com","True","7/28/2014 7:55:17 AM","False","CLTLNSPAREDESK-","computer","4144ba3a-8c71-441e-acf1-d394066f8acc","False","False","CLTLNSPAREDESK-$","S-1-5-21-689311476-2703878803-1764524066-2779",
,"CN=CLTLNCCC000P,OU=TBD,OU=Computers,OU=corporate,DC=lionel,DC=com","True","7/30/2014 2:11:09 PM","False","CLTLNCCC000P","computer","9aeb86d9-9ede-41f8-8d35-1e7dd1b88134","False","False","CLTLNCCC000P$","S-1-5-21-689311476-2703878803-1764524066-3216",
,"CN=CLTLNGM01,OU=AREA51,OU=NC,OU=Desktops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","6/4/2017 3:29:02 PM","False","CLTLNGM01","computer","dbe049d0-52c5-4e91-a79f-f35e7d1ff51f","False","False","CLTLNGM01$","S-1-5-21-689311476-2703878803-1764524066-3213",
,"CN=OHIOSHIPPING1,OU=NC,OU=Desktops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","8/29/2014 1:26:50 PM","False","OHIOSHIPPING1","computer","0ba80817-1f72-4c89-a46f-8e19bf9c4c0d","False","False","OHIOSHIPPING1$","S-1-5-21-689311476-2703878803-1764524066-4149",
,"CN=LNC-HPADSF,OU=TBD,OU=Computers,OU=corporate,DC=lionel,DC=com","True","9/10/2014 11:35:43 AM","False","LNC-HPADSF","computer","10955e46-9877-449d-99a2-57b1457249a7","False","False","LNC-HPADSF$","S-1-5-21-689311476-2703878803-1764524066-3230",
,"CN=LNCATECH,OU=CA,OU=Desktops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","12/10/2016 11:21:20 PM","False","LNCATECH","computer","990f6d3b-e9d2-4a7f-8130-718dc8849c14","False","False","LNCATECH$","S-1-5-21-689311476-2703878803-1764524066-2777",
,"CN=CLTLNCLAYOUT,OU=NC,OU=Desktops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","1/28/2014 10:47:49 AM","False","CLTLNCLAYOUT","computer","386b45a1-f569-49fd-852c-ebcea59330bf","False","False","CLTLNCLAYOUT$","S-1-5-21-689311476-2703878803-1764524066-3159",
,"CN=CLTLNKBOLD,OU=Computers,OU=corporate,DC=lionel,DC=com","True","9/12/2014 8:13:08 AM","False","CLTLNKBOLD","computer","8058e5b3-6a36-4d01-b0d4-87d5f5a844b1","False","False","CLTLNKBOLD$","S-1-5-21-689311476-2703878803-1764524066-3195",
,"CN=santafe,OU=CA,OU=Servers,OU=corporate,DC=lionel,DC=com","True","7/11/2014 3:39:41 PM","False","santafe","computer","411d9f83-e51b-4a97-b741-b96bc3e02315","False","True","santafe$","S-1-5-21-689311476-2703878803-1764524066-2185",
,"CN=pennsy,OU=CA,OU=Servers,OU=corporate,DC=lionel,DC=com","True","1/15/2014 3:35:30 PM","False","pennsy","computer","77665c6e-2520-4eb8-a8bd-46e3342864de","False","True","pennsy$","S-1-5-21-689311476-2703878803-1764524066-2194",
,"CN=LNC-ENT1,OU=BitLocker,OU=Dev,OU=Computers,OU=corporate,DC=lionel,DC=com","True","2/12/2015 12:09:27 PM","False","LNC-ENT1","computer","e195b41e-dbe4-4cde-9153-1f5240ef1f6f","False","False","LNC-ENT1$","S-1-5-21-689311476-2703878803-1764524066-3234",
,"CN=CLTLNRMOSHER,OU=MI,OU=Desktops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","7/29/2015 8:19:37 AM","False","CLTLNRMOSHER","computer","6f9793d9-839b-4baa-9a1d-c43756af0513","False","False","CLTLNRMOSHER$","S-1-5-21-689311476-2703878803-1764524066-3177",
,"CN=CLTLNCMDALE,OU=NC,OU=Laptops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","11/15/2016 3:39:44 PM","False","CLTLNCMDALE","computer","ff38e5d8-1245-4629-aaf3-472b8e957888","False","False","CLTLNCMDALE$","S-1-5-21-689311476-2703878803-1764524066-3712",
,"CN=ABRAGA-HP,OU=MI,OU=Desktops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","2/28/2016 11:12:22 PM","False","ABRAGA-HP","computer","e4581bb1-f80b-4927-942f-1c16e9471845","False","False","ABRAGA-HP$","S-1-5-21-689311476-2703878803-1764524066-1804",
,"CN=CLTLNREP2,OU=NC,OU=Laptops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","4/26/2018 9:46:38 AM","False","CLTLNREP2","computer","8507a858-f23f-4706-97dd-8abf176a6c62","False","False","CLTLNREP2$","S-1-5-21-689311476-2703878803-1764524066-2773",
,"CN=CLTLNCAWILSON,OU=NC,OU=Laptops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","3/17/2016 10:25:05 AM","False","CLTLNCAWILSON","computer","92c12f7f-ba24-45c3-8ecb-f8ac9734b44e","False","False","CLTLNCAWILSON$","S-1-5-21-689311476-2703878803-1764524066-2217",
,"CN=CLTLNLROBERTS,OU=NC,OU=Laptops,OU=Computers,OU=corporate,DC=lionel,DC=com","False","5/31/2017 9:04:43 AM","False","CLTLNLROBERTS","computer","e9bb62ac-2aab-45f4-9061-37b5f8663dbf","False","False","CLTLNLROBERTS$","S-1-5-21-689311476-2703878803-1764524066-3175",
,"CN=CLTLNGSANDLER,OU=NC,OU=Laptops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","8/4/2016 9:51:33 AM","False","CLTLNGSANDLER","computer","b3e9aad3-8c8a-4ce8-9eb2-22d73d607474","False","False","CLTLNGSANDLER$","S-1-5-21-689311476-2703878803-1764524066-3233",
,"CN=LAYOUT-MI,OU=MI,OU=Desktops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","9/15/2015 11:22:54 AM","False","LAYOUT-MI","computer","a7df2870-e565-4611-a15e-eeb5fffc05e8","False","False","LAYOUT-MI$","S-1-5-21-689311476-2703878803-1764524066-3161",
,"CN=CLTLNCSHILLA,OU=NC,OU=Laptops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","9/19/2016 6:09:23 AM","False","CLTLNCSHILLA","computer","287aaa03-e1c3-4ae4-a7d7-08ff116077e3","False","False","CLTLNCSHILLA$","S-1-5-21-689311476-2703878803-1764524066-3809",
,"CN=CLTLNCLOANER01,OU=TBD,OU=Computers,OU=corporate,DC=lionel,DC=com","True","2/24/2017 3:28:58 PM","False","CLTLNCLOANER01","computer","38f1dc1d-8f5f-4e2d-a494-25ca01988865","False","False","CLTLNCLOANER01$","S-1-5-21-689311476-2703878803-1764524066-3253",
,"CN=CLTLNCMBURRIS,OU=NC,OU=Laptops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","1/9/2018 10:16:28 AM","False","CLTLNCMBURRIS","computer","254f3425-fb02-455e-99cf-e6c677d65b93","False","False","CLTLNCMBURRIS$","S-1-5-21-689311476-2703878803-1764524066-3782",
,"CN=CLTLN1,OU=TBD,OU=Computers,OU=corporate,DC=lionel,DC=com","True","1/15/2015 8:33:46 AM","False","CLTLN1","computer","b255f56c-193b-4d3c-82f9-2a3ab5f3d1d1","False","False","CLTLN1$","S-1-5-21-689311476-2703878803-1764524066-3254",
,"CN=CLTLNCTFIAWOO,OU=NC,OU=Laptops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","9/29/2016 8:52:31 AM","False","CLTLNCTFIAWOO","computer","5a0d00a0-1f08-46d7-8cbd-4e3da7a27bae","False","False","CLTLNCTFIAWOO$","S-1-5-21-689311476-2703878803-1764524066-3756",
,"CN=CLTLNCCCRUMLEY,OU=Laptops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","10/15/2015 8:32:00 AM","False","CLTLNCCCRUMLEY","computer","077eb3aa-dc1d-4423-8e95-d256a3f6b504","False","False","CLTLNCCCRUMLEY$","S-1-5-21-689311476-2703878803-1764524066-3742",
,"CN=CLTLNCLMORRIS,OU=NC,OU=Laptops,OU=Computers,OU=corporate,DC=lionel,DC=com","False","11/30/2017 11:00:43 AM","False","CLTLNCLMORRIS","computer","ef863ec0-6bb5-40eb-9ff5-1a360c2be09f","False","False","CLTLNCLMORRIS$","S-1-5-21-689311476-2703878803-1764524066-3781",
,"CN=CLTLNCGTRENCK,OU=NC,OU=Laptops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","10/26/2015 10:08:22 AM","False","CLTLNCGTRENCK","computer","141c7bc0-9818-41bb-a766-9fed08f8928e","False","False","CLTLNCGTRENCK$","S-1-5-21-689311476-2703878803-1764524066-3829",
,"CN=CLTLNCJS,OU=TBD,OU=Computers,OU=corporate,DC=lionel,DC=com","True","1/9/2015 8:32:00 AM","False","CLTLNCJS","computer","8bc4ddc1-fe1f-4d68-b3be-99d03a91a452","False","False","CLTLNCJS$","S-1-5-21-689311476-2703878803-1764524066-3832",
,"CN=CLTLNCCDANA,OU=NC,OU=Laptops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","7/6/2016 4:28:19 PM","False","CLTLNCCDANA","computer","ae95c6cb-40ad-4676-b9bf-db358597c79a","False","False","CLTLNCCDANA$","S-1-5-21-689311476-2703878803-1764524066-3827",
,"CN=CLTLNCJMILLER,OU=NC,OU=Laptops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","8/29/2018 7:09:43 AM","False","CLTLNCJMILLER","computer","97428bd8-fb79-4a03-92bf-521fc5b2b319","False","False","CLTLNCJMILLER$","S-1-5-21-689311476-2703878803-1764524066-3751",
,"CN=CLTLNMTURNER,OU=NC,OU=Laptops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","6/6/2018 10:46:32 AM","False","CLTLNMTURNER","computer","57b8b9e5-ee09-4010-b0aa-f15800d30382","False","False","CLTLNMTURNER$","S-1-5-21-689311476-2703878803-1764524066-3836",
,"CN=CLTLNCMFANNIN,OU=TBD,OU=Computers,OU=corporate,DC=lionel,DC=com","True","1/5/2015 8:24:58 AM","False","CLTLNCMFANNIN","computer","77d214ea-8fa3-4c5d-a27b-872efab43c27","False","False","CLTLNCMFANNIN$","S-1-5-21-689311476-2703878803-1764524066-3783",
,"CN=CLTLNCLP0023,OU=TBD,OU=Computers,OU=corporate,DC=lionel,DC=com","True","3/9/2015 7:01:16 AM","False","CLTLNCLP0023","computer","70c2e1f8-0f48-4621-a6d9-31c136bb0665","False","False","CLTLNCLP0023$","S-1-5-21-689311476-2703878803-1764524066-3720",
,"CN=CLTLNCRBECHARD,OU=NC,OU=Laptops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","6/23/2016 8:27:39 AM","False","CLTLNCRBECHARD","computer","80efd6fa-d800-41af-814d-58e4169247ca","False","False","CLTLNCRBECHARD$","S-1-5-21-689311476-2703878803-1764524066-3758",
,"CN=CLTLNCCCORRIHER,OU=NC,OU=Laptops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","4/16/2015 12:40:52 PM","False","CLTLNCCCORRIHER","computer","3d30f950-bdfb-4059-8591-c4de74258adf","False","False","CLTLNCCCORRIHER$","S-1-5-21-689311476-2703878803-1764524066-3741",
,"CN=CLTLNCBJOHNSON,OU=NC,OU=Laptops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","8/16/2015 12:34:01 PM","False","CLTLNCBJOHNSON","computer","6de42a9f-8dd5-411a-a940-36ac8a9fbbc8","False","False","CLTLNCBJOHNSON$","S-1-5-21-689311476-2703878803-1764524066-3739",
,"CN=CLTLNCGADAMS,OU=TBD,OU=Computers,OU=corporate,DC=lionel,DC=com","True","7/30/2015 8:32:22 AM","False","CLTLNCGADAMS","computer","674685cc-e9db-4bb4-8c80-3b40717a1928","False","False","CLTLNCGADAMS$","S-1-5-21-689311476-2703878803-1764524066-3745",
,"CN=CLTLNCLHAIGLER,OU=NC,OU=Desktops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","4/6/2015 12:46:46 PM","False","CLTLNCLHAIGLER","computer","2eaeebe4-ede0-41dc-833a-c1b63c7b6122","False","False","CLTLNCLHAIGLER$","S-1-5-21-689311476-2703878803-1764524066-3747",
,"CN=CLTLNEPREVETTE,OU=NC,OU=Laptops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","4/10/2018 7:45:17 AM","False","CLTLNEPREVETTE","computer","2c7f6061-92b3-4e86-8d2d-2aad03a25216","False","False","CLTLNEPREVETTE$","S-1-5-21-689311476-2703878803-1764524066-3257",
,"CN=CLTLNCFEDEXSRV,OU=LOGISTICS,OU=VMs,OU=NC,OU=Desktops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","6/8/2016 8:29:31 AM","False","CLTLNCFEDEXSRV","computer","f403bd38-2632-47e7-9c0c-c758f1dd2f87","False","False","CLTLNCFEDEXSRV$","S-1-5-21-689311476-2703878803-1764524066-3872",
,"CN=CLTLNRETURNS,OU=Warehouse,OU=NC,OU=Desktops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","11/10/2014 1:48:34 PM","False","CLTLNRETURNS","computer","8f5f42be-2504-4a64-a8d7-3204bc528fb1","False","False","CLTLNRETURNS$","S-1-5-21-689311476-2703878803-1764524066-2785",
,"CN=cltlncnas2,OU=PROD,OU=NC,OU=Servers,OU=corporate,DC=lionel,DC=com","True","4/9/2016 10:17:20 AM","False","cltlncnas2","computer","d61b3370-4558-4f84-ab7b-49db293b391b","False","True","cltlncnas2$","S-1-5-21-689311476-2703878803-1764524066-3267",
,"CN=JGREER-WIN7,OU=NC,OU=Desktops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","11/29/2016 8:16:50 AM","False","JGREER-WIN7","computer","3bd8781e-d13e-4811-9390-4e63365e5046","False","False","JGREER-WIN7$","S-1-5-21-689311476-2703878803-1764524066-1775",
,"CN=CLTLNAFRASER,OU=NC,OU=Desktops,OU=Computers,OU=corporate,DC=lionel,DC=com","False","12/1/2016 7:18:43 AM","False","CLTLNAFRASER","computer","a7b90cba-821c-46a2-add2-3030cfd3c194","False","False","CLTLNAFRASER$","S-1-5-21-689311476-2703878803-1764524066-1806",
,"CN=CLTLNCSHIP04,OU=Warehouse,OU=NC,OU=Desktops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","12/10/2015 8:13:04 AM","False","CLTLNCSHIP04","computer","a010fb7e-cff3-4711-a7a6-0f166135a686","False","False","CLTLNCSHIP04$","S-1-5-21-689311476-2703878803-1764524066-3811",
,"CN=CLTLNJROHDE-HP,OU=MI,OU=Desktops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","7/13/2016 12:55:57 PM","False","CLTLNJROHDE-HP","computer","21208de3-77ab-45d0-affd-24e9fe6999c2","False","False","CLTLNJROHDE-HP$","S-1-5-21-689311476-2703878803-1764524066-2771",
,"CN=terastation,OU=NC,OU=Servers,OU=corporate,DC=lionel,DC=com","True","7/31/2015 1:06:01 AM","False","terastation","computer","acb53e19-1443-45de-b851-62d550a47917","False","True","terastation$","S-1-5-21-689311476-2703878803-1764524066-5149",
,"CN=MILNSHIP,OU=MI,OU=Desktops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","6/2/2016 3:37:43 PM","False","MILNSHIP","computer","91e04a8c-d27e-42ca-bfb1-fee21e4718de","False","False","MILNSHIP$","S-1-5-21-689311476-2703878803-1764524066-2784",
,"CN=CLTLNC-CLIENT2,OU=VMs,OU=NC,OU=Desktops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","7/7/2016 3:26:53 PM","False","CLTLNC-CLIENT2","computer","1e95861c-3eb6-4145-af3c-0893c16ef0a2","False","False","CLTLNC-CLIENT2$","S-1-5-21-689311476-2703878803-1764524066-3853",
,"CN=CLTLNC-TESTWEB,OU=VMs,OU=NC,OU=Desktops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","11/15/2015 6:07:34 PM","False","CLTLNC-TESTWEB","computer","9bfc0fcb-4a0f-4798-93ee-1d74650a32fb","False","False","CLTLNC-TESTWEB$","S-1-5-21-689311476-2703878803-1764524066-3854",
,"CN=LNCVMHOST1,OU=PROD,OU=NC,OU=Servers,OU=corporate,DC=lionel,DC=com","True","2/4/2017 8:55:11 AM","False","LNCVMHOST1","computer","a9ed1226-b0cd-479b-b16e-360bd43b64ad","False","False","LNCVMHOST1$","S-1-5-21-689311476-2703878803-1764524066-3264",
,"CN=ESXIHOST01,OU=Servers,OU=corporate,DC=lionel,DC=com","True","12/4/2015 5:05:47 PM","False","ESXIHOST01","computer","2b75f9fc-d1d7-4f7d-815b-27916bbfaf37","False","False","ESXIHOST01$","S-1-5-21-689311476-2703878803-1764524066-3648",
,"CN=CLTLNC-ARCHIVE,OU=MI,OU=Desktops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","8/9/2015 1:37:29 AM","False","CLTLNC-ARCHIVE","computer","c869782b-5dc2-4cdd-bafc-e582b85b9ac4","False","False","CLTLNC-ARCHIVE$","S-1-5-21-689311476-2703878803-1764524066-1788",
,"CN=cltlncmac_ted,OU=Macs,OU=NC,OU=Desktops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","3/12/2018 3:41:05 PM","False","cltlncmac_ted","computer","4b24845f-dda0-4925-9ef5-fd5c3507373d","False","False","cltlncmac_ted$","S-1-5-21-689311476-2703878803-1764524066-3250",
,"CN=cltlncsdavis,OU=Macs,OU=NC,OU=Desktops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","1/4/2016 7:18:28 AM","False","cltlncsdavis","computer","20a24ea6-6423-4db8-83c0-e790c4405dac","False","False","cltlncsdavis$","S-1-5-21-689311476-2703878803-1764524066-3242",
,"CN=CLTLNDEVPC,OU=NC,OU=Desktops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","6/6/2015 11:56:44 PM","False","CLTLNDEVPC","computer","68393be7-617a-4a26-9fc8-e591d8f703ea","False","False","CLTLNDEVPC$","S-1-5-21-689311476-2703878803-1764524066-3703",
,"CN=RMOSHER-WIN7,OU=MI,OU=Desktops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","5/26/2016 1:14:16 PM","False","RMOSHER-WIN7","computer","e6964770-fa08-4aba-8d13-e9c07f80360e","False","False","RMOSHER-WIN7$","S-1-5-21-689311476-2703878803-1764524066-3678",
,"CN=cltlncndagostino,OU=Macs,OU=NC,OU=Desktops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","5/23/2017 9:11:34 AM","False","cltlncndagostino","computer","34ba0d25-1dac-42de-99f1-72ae0fa8955b","False","False","cltlncndagostino$","S-1-5-21-689311476-2703878803-1764524066-3249",
,"CN=cltlncbrowland,OU=Macs,OU=NC,OU=Desktops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","3/23/2018 11:04:54 AM","False","cltlncbrowland","computer","5e9e2f32-59d4-47d2-bcec-aeaedf870c62","False","False","cltlncbrowland$","S-1-5-21-689311476-2703878803-1764524066-3248",
,"CN=cltlncmhlebasko,OU=Macs,OU=NC,OU=Desktops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","7/14/2015 5:18:22 PM","False","cltlncmhlebasko","computer","3ad03873-95dc-4f3d-b1ef-14797622698b","False","False","cltlncmhlebasko$","S-1-5-21-689311476-2703878803-1764524066-3246",
,"CN=cltlncrrussel,OU=Macs,OU=NC,OU=Desktops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","1/2/2018 7:33:07 AM","False","cltlncrrussel","computer","7cd7321a-ee8d-436e-bd77-23924262d8ac","False","False","cltlncrrussel$","S-1-5-21-689311476-2703878803-1764524066-3247",
,"CN=cltlnccjones,OU=Macs,OU=NC,OU=Desktops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","11/25/2015 12:35:33 PM","False","cltlnccjones","computer","9773eda0-0b14-4361-8474-04059d092142","False","False","cltlnccjones$","S-1-5-21-689311476-2703878803-1764524066-3243",
,"CN=ASTEVENS,OU=NC,OU=Desktops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","9/21/2015 8:03:07 AM","False","ASTEVENS","computer","3f712440-aa53-4531-b6c5-fb8bce930fc1","False","False","ASTEVENS$","S-1-5-21-689311476-2703878803-1764524066-1780",
,"CN=OHIOPROGRAMMING,OU=LIONEL_ NORTH,OU=NC,OU=Desktops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","6/14/2016 3:38:55 PM","False","OHIOPROGRAMMING","computer","73ddf720-bab3-4f2e-99d5-35972b549abd","False","False","OHIOPROGRAMMING$","S-1-5-21-689311476-2703878803-1764524066-1777",
,"CN=CLTLNKSIMCOX,OU=NC,OU=Desktops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","8/23/2018 7:13:16 PM","False","CLTLNKSIMCOX","computer","cb0911c6-2fc5-49b9-b901-380ee7447712","False","False","CLTLNKSIMCOX$","S-1-5-21-689311476-2703878803-1764524066-3227",
